t_s,timestamp,lidar_m,obs,ch3,status
0.0,2026-02-03T16:30:36.277743+00:00,0.0500,907,1000,ARMING(19.0s) | CRUISE_DIRECTION_MODE
0.5,2026-02-03T16:30:36.777748+00:00,0.0500,912,1000,ARMING(19.0s) | CRUISE_DIRECTION_MODE
1.0,2026-02-03T16:30:37.277748+00:00,0.0500,917,1000,ARMING(18.0s) | CRUISE_DIRECTION_MODE
1.5,2026-02-03T16:30:37.777827+00:00,0.0500,922,1000,ARMING(18.0s) | CRUISE_DIRECTION_MODE
2.0,2026-02-03T16:30:38.277751+00:00,0.0500,927,1000,ARMING(17.0s) | CRUISE_DIRECTION_MODE
2.5,2026-02-03T16:30:38.777751+00:00,0.0500,932,1000,ARMING(17.0s) | CRUISE_DIRECTION_MODE
3.0,2026-02-03T16:30:39.277764+00:00,0.0500,937,1000,ARMING(16.0s) | CRUISE_DIRECTION_MODE
3.5,2026-02-03T16:30:39.777749+00:00,0.0500,942,1000,ARMING(16.0s) | CRUISE_DIRECTION_MODE
4.0,2026-02-03T16:30:40.277759+00:00,0.0500,947,1000,ARMING(15.0s) | CRUISE_DIRECTION_MODE
4.5,2026-02-03T16:30:40.777803+00:00,0.0500,952,1000,ARMING(15.0s) | CRUISE_DIRECTION_MODE
5.0,2026-02-03T16:30:41.277820+00:00,0.0500,957,1000,ARMING(14.0s) | CRUISE_DIRECTION_MODE
5.5,2026-02-03T16:30:41.777762+00:00,0.0500,962,1000,ARMING(14.0s) | CRUISE_DIRECTION_MODE
6.0,2026-02-03T16:30:42.277769+00:00,0.0500,967,1000,ARMING(13.0s) | CRUISE_DIRECTION_MODE
6.5,2026-02-03T16:30:42.777828+00:00,0.0500,972,1000,ARMING(13.0s) | CRUISE_DIRECTION_MODE
7.0,2026-02-03T16:30:43.277788+00:00,0.0500,977,1000,ARMING(12.0s) | CRUISE_DIRECTION_MODE
7.5,2026-02-03T16:30:43.777833+00:00,0.0500,982,1000,ARMING(12.0s) | CRUISE_DIRECTION_MODE
8.0,2026-02-03T16:30:44.277748+00:00,0.0500,987,1000,ARMING(11.0s) | CRUISE_DIRECTION_MODE
8.5,2026-02-03T16:30:44.777786+00:00,0.0500,992,1000,ARMING(11.0s) | CRUISE_DIRECTION_MODE
9.0,2026-02-03T16:30:45.277764+00:00,0.0500,997,1000,ARMING(10.0s) | CRUISE_DIRECTION_MODE
9.5,2026-02-03T16:30:45.777767+00:00,0.0500,1002,1000,ARMING(10.0s) | CRUISE_DIRECTION_MODE
10.0,2026-02-03T16:30:46.277763+00:00,0.0500,1007,1000,ARMING(9.0s) | CRUISE_DIRECTION_MODE
10.5,2026-02-03T16:30:46.777802+00:00,0.0500,1012,1000,ARMING(9.0s) | CRUISE_DIRECTION_MODE
11.0,2026-02-03T16:30:47.277761+00:00,0.0500,1017,1000,ARMING(8.0s) | CRUISE_DIRECTION_MODE
11.5,2026-02-03T16:30:47.777745+00:00,0.0500,1022,1000,ARMING(8.0s) | CRUISE_DIRECTION_MODE
12.0,2026-02-03T16:30:48.277761+00:00,0.0500,1027,1000,ARMING(7.0s) | CRUISE_DIRECTION_MODE
12.5,2026-02-03T16:30:48.777773+00:00,0.0500,1032,1000,ARMING(7.0s) | CRUISE_DIRECTION_MODE
13.0,2026-02-03T16:30:49.277754+00:00,0.0500,1037,1000,ARMING(6.0s) | CRUISE_DIRECTION_MODE
13.5,2026-02-03T16:30:49.777828+00:00,0.0500,1042,1000,ARMING(6.0s) | CRUISE_DIRECTION_MODE
14.0,2026-02-03T16:30:50.277765+00:00,0.0500,1047,1000,ARMING(5.0s) | CRUISE_DIRECTION_MODE
14.5,2026-02-03T16:30:50.777754+00:00,0.0500,1052,1000,ARMING(5.0s) | CRUISE_DIRECTION_MODE
15.0,2026-02-03T16:30:51.277748+00:00,0.0500,1057,1000,ARMING(4.0s) | CRUISE_DIRECTION_MODE
15.5,2026-02-03T16:30:51.777761+00:00,0.0500,1062,1000,ARMING(4.0s) | CRUISE_DIRECTION_MODE
16.0,2026-02-03T16:30:52.277761+00:00,0.0500,1067,1000,ARMING(3.0s) | CRUISE_DIRECTION_MODE
16.5,2026-02-03T16:30:52.777790+00:00,0.0500,1072,1000,ARMING(3.0s) | CRUISE_DIRECTION_MODE
17.0,2026-02-03T16:30:53.277754+00:00,0.0500,1077,1000,ARMING(2.0s) | CRUISE_DIRECTION_MODE
17.5,2026-02-03T16:30:53.777755+00:00,0.0500,1082,1000,ARMING(2.0s) | CRUISE_DIRECTION_MODE
18.0,2026-02-03T16:30:54.277756+00:00,0.0500,1087,1000,ARMING(1.0s) | CRUISE_DIRECTION_MODE
18.5,2026-02-03T16:30:54.777751+00:00,0.0500,1092,1000,ARMING(1.0s) | CRUISE_DIRECTION_MODE
19.0,2026-02-03T16:30:55.277765+00:00,0.0500,1097,1600,RISING(alt=0.05m;target=3.00m;timeout=20.0s) | CRUISE_DIRECTION_MODE
19.5,2026-02-03T16:30:55.777869+00:00,0.5168,1102,1600,RISING(alt=0.05m;target=3.00m;timeout=20.0s) | CRUISE_DIRECTION_MODE
20.0,2026-02-03T16:30:56.277810+00:00,1.0638,1107,1600,RISING(alt=1.00m;target=3.00m;timeout=19.0s) | CRUISE_DIRECTION_MODE
20.5,2026-02-03T16:30:56.777754+00:00,1.4762,1112,1600,RISING(alt=1.00m;target=3.00m;timeout=19.0s) | CRUISE_DIRECTION_MODE
21.0,2026-02-03T16:30:57.277765+00:00,1.8858,1117,1600,RISING(alt=1.83m;target=3.00m;timeout=18.0s) | CRUISE_DIRECTION_MODE
21.5,2026-02-03T16:30:57.777781+00:00,2.2606,1122,1600,RISING(alt=1.83m;target=3.00m;timeout=18.0s) | CRUISE_DIRECTION_MODE
22.0,2026-02-03T16:30:58.277783+00:00,2.6758,1127,1600,RISING(alt=2.62m;target=3.00m;timeout=17.0s) | CRUISE_DIRECTION_MODE
22.5,2026-02-03T16:30:58.777802+00:00,3.1308,1132,1500,RISING(alt=2.62m;target=3.00m;timeout=17.0s) | CRUISE_DIRECTION_MODE
23.0,2026-02-03T16:30:59.277786+00:00,3.4268,1137,1500,STABILIZING(9.4s) | CRUISE_DIRECTION_MODE
23.5,2026-02-03T16:30:59.777779+00:00,3.6588,1142,1450,STABILIZING(9.4s) | CRUISE_DIRECTION_MODE
24.0,2026-02-03T16:31:00.277777+00:00,3.7490,1147,1450,STABILIZING(8.4s) | CRUISE_DIRECTION_MODE
24.5,2026-02-03T16:31:00.777756+00:00,3.8714,1152,1450,STABILIZING(8.4s) | CRUISE_DIRECTION_MODE
25.0,2026-02-03T16:31:01.277760+00:00,4.0108,1157,1450,STABILIZING(7.4s) | CRUISE_DIRECTION_MODE
25.5,2026-02-03T16:31:01.777825+00:00,4.1656,1162,1450,STABILIZING(7.4s) | CRUISE_DIRECTION_MODE
26.0,2026-02-03T16:31:02.277756+00:00,4.3402,1167,1450,STABILIZING(6.4s) | CRUISE_DIRECTION_MODE
26.5,2026-02-03T16:31:02.777775+00:00,4.5574,1172,1450,STABILIZING(6.4s) | CRUISE_DIRECTION_MODE
27.0,2026-02-03T16:31:03.277784+00:00,4.8052,1177,1450,STABILIZING(5.4s) | CRUISE_DIRECTION_MODE
27.5,2026-02-03T16:31:03.777760+00:00,5.0814,1182,1450,STABILIZING(5.4s) | CRUISE_DIRECTION_MODE
28.0,2026-02-03T16:31:04.277754+00:00,5.3836,1187,1450,STABILIZING(4.4s) | CRUISE_DIRECTION_MODE
28.5,2026-02-03T16:31:04.777823+00:00,5.7098,1192,1450,STABILIZING(4.4s) | CRUISE_DIRECTION_MODE
29.0,2026-02-03T16:31:05.277826+00:00,6.0786,1197,1450,STABILIZING(3.4s) | CRUISE_DIRECTION_MODE
29.5,2026-02-03T16:31:05.777762+00:00,6.4784,1202,1450,STABILIZING(3.4s) | CRUISE_DIRECTION_MODE
30.0,2026-02-03T16:31:06.277754+00:00,6.9112,1207,1450,STABILIZING(2.4s) | CRUISE_DIRECTION_MODE
30.5,2026-02-03T16:31:06.777778+00:00,7.3688,1212,1450,STABILIZING(2.4s) | CRUISE_DIRECTION_MODE
31.0,2026-02-03T16:31:07.277783+00:00,7.8352,1217,1450,STABILIZING(1.4s) | CRUISE_DIRECTION_MODE
31.5,2026-02-03T16:31:07.777815+00:00,8.2802,1222,1450,STABILIZING(1.4s) | CRUISE_DIRECTION_MODE
32.0,2026-02-03T16:31:08.277783+00:00,8.7082,1227,1450,STABILIZING(0.4s) | CRUISE_DIRECTION_MODE
32.5,2026-02-03T16:31:08.777785+00:00,9.1440,1232,1450,STABILIZING(0.4s) | CRUISE_DIRECTION_MODE
33.0,2026-02-03T16:31:09.277815+00:00,9.5554,1237,1450,YAW_ALIGN(14.0°) | CRUISE_DIRECTION_MODE
33.5,2026-02-03T16:31:09.777764+00:00,9.9046,1242,1450,YAW_ALIGN(14.0°) | CRUISE_DIRECTION_MODE
34.0,2026-02-03T16:31:10.277784+00:00,10.2450,1247,1450,READY | CRUISE_DIRECTION_MODE
34.5,2026-02-03T16:31:10.777826+00:00,10.5714,1252,1450,READY | CRUISE_DIRECTION_MODE
35.0,2026-02-03T16:31:11.277767+00:00,10.9022,1257,1450,READY | CRUISE_DIRECTION_MODE
35.5,2026-02-03T16:31:11.777762+00:00,11.2006,1262,1450,READY | CRUISE_DIRECTION_MODE
36.0,2026-02-03T16:31:12.277775+00:00,11.4982,1267,1450,READY | CRUISE_DIRECTION_MODE
36.5,2026-02-03T16:31:12.777777+00:00,11.7964,1272,1450,READY | CRUISE_DIRECTION_MODE
37.0,2026-02-03T16:31:13.277767+00:00,12.0796,1277,1450,READY | CRUISE_DIRECTION_MODE
37.5,2026-02-03T16:31:13.777892+00:00,12.3524,1282,1450,READY | CRUISE_DIRECTION_MODE
38.0,2026-02-03T16:31:14.277793+00:00,12.6138,1287,1450,READY | CRUISE_DIRECTION_MODE
38.5,2026-02-03T16:31:14.777764+00:00,12.8490,1292,1450,READY | CRUISE_DIRECTION_MODE
39.0,2026-02-03T16:31:15.277753+00:00,13.1038,1297,1450,READY | CRUISE_DIRECTION_MODE
39.5,2026-02-03T16:31:15.777760+00:00,13.3296,1302,1450,READY | CRUISE_DIRECTION_MODE
40.0,2026-02-03T16:31:16.277780+00:00,13.5362,1307,1450,READY | CRUISE_DIRECTION_MODE
40.5,2026-02-03T16:31:16.777814+00:00,13.7558,1312,1450,READY | CRUISE_DIRECTION_MODE
41.0,2026-02-03T16:31:17.277756+00:00,13.9544,1317,1450,READY | CRUISE_DIRECTION_MODE
41.5,2026-02-03T16:31:17.777747+00:00,14.1452,1322,1450,READY | CRUISE_DIRECTION_MODE
42.0,2026-02-03T16:31:18.277768+00:00,14.3476,1327,1450,READY | CRUISE_DIRECTION_MODE
42.5,2026-02-03T16:31:18.777826+00:00,14.5352,1332,1450,READY | CRUISE_DIRECTION_MODE
43.0,2026-02-03T16:31:19.277765+00:00,14.7348,1337,1450,READY | CRUISE_DIRECTION_MODE
43.5,2026-02-03T16:31:19.777805+00:00,14.9230,1342,1450,READY | CRUISE_DIRECTION_MODE
44.0,2026-02-03T16:31:20.277747+00:00,15.0782,1347,1450,READY | CRUISE_DIRECTION_MODE
44.5,2026-02-03T16:31:20.777761+00:00,15.2784,1352,1450,READY | CRUISE_DIRECTION_MODE
45.0,2026-02-03T16:31:21.277818+00:00,15.4532,1357,1450,READY | CRUISE_DIRECTION_MODE
45.5,2026-02-03T16:31:21.777758+00:00,15.6108,1362,1450,READY | CRUISE_DIRECTION_MODE
46.0,2026-02-03T16:31:22.277795+00:00,15.7632,1367,1450,READY | CRUISE_DIRECTION_MODE
46.5,2026-02-03T16:31:22.777824+00:00,15.8534,1372,1450,READY | CRUISE_DIRECTION_MODE
47.0,2026-02-03T16:31:23.277763+00:00,16.0186,1377,1450,READY | CRUISE_DIRECTION_MODE
47.5,2026-02-03T16:31:23.777777+00:00,16.1050,1382,1450,READY | CRUISE_DIRECTION_MODE
48.0,2026-02-03T16:31:24.277744+00:00,16.1864,1387,1450,READY | CRUISE_DIRECTION_MODE
48.5,2026-02-03T16:31:24.777756+00:00,16.2716,1392,1450,READY | CRUISE_DIRECTION_MODE
49.0,2026-02-03T16:31:25.277808+00:00,16.3070,1397,1450,READY | CRUISE_DIRECTION_MODE
49.5,2026-02-03T16:31:25.777818+00:00,16.2944,1402,1450,READY | CRUISE_DIRECTION_MODE
50.0,2026-02-03T16:31:26.277790+00:00,16.3404,1407,1450,READY | CRUISE_DIRECTION_MODE
50.5,2026-02-03T16:31:26.777754+00:00,16.3128,1412,1450,READY | CRUISE_DIRECTION_MODE
51.0,2026-02-03T16:31:27.277749+00:00,16.3368,1417,1450,READY | CRUISE_DIRECTION_MODE
51.5,2026-02-03T16:31:27.777762+00:00,16.3336,1422,1450,READY | CRUISE_DIRECTION_MODE
52.0,2026-02-03T16:31:28.277771+00:00,16.3228,1427,1450,READY | CRUISE_DIRECTION_MODE
52.5,2026-02-03T16:31:28.777797+00:00,16.3112,1432,1450,READY | CRUISE_DIRECTION_MODE
53.0,2026-02-03T16:31:29.277759+00:00,16.2772,1437,1450,READY | CRUISE_DIRECTION_MODE
53.5,2026-02-03T16:31:29.777762+00:00,16.2880,1442,1450,READY | CRUISE_DIRECTION_MODE
54.0,2026-02-03T16:31:30.277778+00:00,16.2000,1447,1450,READY | CRUISE_DIRECTION_MODE
54.5,2026-02-03T16:31:30.777757+00:00,16.1724,1452,1450,READY | CRUISE_DIRECTION_MODE
55.0,2026-02-03T16:31:31.277756+00:00,16.0772,1457,1450,READY | CRUISE_DIRECTION_MODE
55.5,2026-02-03T16:31:31.777842+00:00,16.0526,1462,1450,READY | CRUISE_DIRECTION_MODE
56.0,2026-02-03T16:31:32.277755+00:00,15.9456,1467,1450,READY | CRUISE_DIRECTION_MODE
56.5,2026-02-03T16:31:32.777760+00:00,15.8822,1472,1450,READY | CRUISE_DIRECTION_MODE
